,Unnamed: 0,Title,SKU,Medium,Subject,Publication,url,File
306,306,master-of-tradition-revolution-pigeon-and-chrysanthemums,1606,Chinese Ink on Paper,Chrysanthemum,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-pigeon-and-chrysanthemums.jpg,images/master-of-tradition-revolution-pigeon-and-chrysanthemums.jpg
307,307,chen-wen-hsi-pigeons,1044,Chinese Ink on Paper,Pigeon,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/chen-wen-hsi-pigeons.jpg,images/chen-wen-hsi-pigeons.jpg
308,308,pine-and-gibbons,467,Chinese Ink on Paper,Gibbon,"
Chen Wen Hsi Retrospective 1982",https://chenwenhsi.com/wp-content/uploads/2017/08/pine-and-gibbons.jpg,images/pine-and-gibbons.jpg
309,309,chen-wen-hsi-carps,1196,Chinese Ink on Paper,Koi Fish,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-carps.jpg,images/chen-wen-hsi-carps.jpg
310,310,playful-gibbons-cwh,506,Chinese Ink on Paper,Gibbon,"
A Dialogue With Tradition",https://chenwenhsi.com/wp-content/uploads/2017/08/playful-gibbons-cwh.jpg,images/playful-gibbons-cwh.jpg
311,311,playful-gibbons-2,511,Chinese Ink on Paper,Gibbon,"
A Dialogue With Tradition",https://chenwenhsi.com/wp-content/uploads/2017/08/playful-gibbons-2.jpg,images/playful-gibbons-2.jpg
312,312,playful-goldfish,654,Chinese Ink on Paper,Goldfish,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/playful-goldfish.jpg,images/playful-goldfish.jpg
313,313,chen-wen-hsi-catfish,1288,Chinese Ink on Paper,Catfish,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-catfish.jpg,images/chen-wen-hsi-catfish.jpg
314,314,master-of-tradition-revolution-portrait,1577,Chinese Ink on Paper,Portrait,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-portrait.jpg,images/master-of-tradition-revolution-portrait.jpg
315,315,master-of-tradition-revolution-balinese-lady,1585,Chinese Ink on Paper,Portrait,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-balinese-lady.jpg,images/master-of-tradition-revolution-balinese-lady.jpg
316,316,poultry-cwh,678,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/poultry-cwh.jpg,images/poultry-cwh.jpg
317,317,master-of-tradition-revolution-prawns,1616,Chinese Ink on Paper,Shrimp,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-prawns.jpg,images/master-of-tradition-revolution-prawns.jpg
318,318,puppets-chen-wen-hsi,626,Oil on Canvas,Abstract,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/puppets-chen-wen-hsi.jpg,images/puppets-chen-wen-hsi.jpg
319,319,rain-upon-lotus-pond,1073,Chinese Ink on Paper,Lotus,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/rain-upon-lotus-pond.jpg,images/rain-upon-lotus-pond.jpg
320,320,master-of-tradition-revolution-goldfish,1652,Chinese Ink on Paper,Goldfish,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-goldfish.jpg,images/master-of-tradition-revolution-goldfish.jpg
321,321,red-cranes-chen-wen-hsi,207,Chinese Ink on Paper,Heron,"
A Dialogue With Tradition",https://chenwenhsi.com/wp-content/uploads/2017/07/red-cranes-chen-wen-hsi.jpg,images/red-cranes-chen-wen-hsi.jpg
322,322,red-scarf-chen-wen-hsi,978,Oil on Canvas,Village / Kampong,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/red-scarf-chen-wen-hsi.jpg,images/red-scarf-chen-wen-hsi.jpg
323,323,refuge,636,Oil on Canvas,Abstract,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/refuge.jpg,images/refuge.jpg
324,324,relaxation,734,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/relaxation.jpg,images/relaxation.jpg
325,325,chen-wen-hsi-chickens-1,1403,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-chickens-1.jpg,images/chen-wen-hsi-chickens-1.jpg
326,326,chen-wen-hsi-egrets-12,1429,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-egrets-12.jpg,images/chen-wen-hsi-egrets-12.jpg
327,327,resting-cwh,724,Chinese Ink on Paper,Gibbon,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/resting-cwh.jpg,images/resting-cwh.jpg
328,328,chen-wen-hsi-sparrow-10,1533,Chinese Ink on Paper,Sparrow,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-sparrow-10.jpg,images/chen-wen-hsi-sparrow-10.jpg
329,329,risen-cwh,704,Chinese Ink on Paper,Crane,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/risen-cwh.jpg,images/risen-cwh.jpg
330,330,roaming,668,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/roaming.jpg,images/roaming.jpg
331,331,rocky-hill,459,Mixed Media on Paper,Abstract,"
Chen Wen Hsi Retrospective 1982",https://chenwenhsi.com/wp-content/uploads/2017/08/rocky-hill.jpg,images/rocky-hill.jpg
332,332,scene-at-hualian,483,Chinese Ink on Paper,Landscape,"
Chen Wen Hsi Retrospective 1982",https://chenwenhsi.com/wp-content/uploads/2017/08/scene-at-hualian.jpg,images/scene-at-hualian.jpg
333,333,master-of-tradition-revolution-landscape-2,1644,Chinese Ink on Paper,Landscape,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-landscape-2.jpg,images/master-of-tradition-revolution-landscape-2.jpg
334,334,sea-palace,630,Oil on Canvas,Abstract,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/sea-palace.jpg,images/sea-palace.jpg
335,335,searching,640,Chinese Ink on Paper,Squirrel,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/searching.jpg,images/searching.jpg
336,336,chen-wen-hsi-squirrel,1281,Chinese Ink on Paper,Squirrel,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-squirrel.jpg,images/chen-wen-hsi-squirrel.jpg
337,337,chen-wen-hsi-squirrel-3,1322,Chinese Ink on Paper,Squirrel,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-squirrel-3.jpg,images/chen-wen-hsi-squirrel-3.jpg
338,338,chen-wen-hsi-chickens,1393,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-chickens.jpg,images/chen-wen-hsi-chickens.jpg
339,339,chen-wen-hsi-searching-for-food,1202,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-searching-for-food.jpg,images/chen-wen-hsi-searching-for-food.jpg
340,340,chen-wen-hsi-chicken-6,1469,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-chicken-6.jpg,images/chen-wen-hsi-chicken-6.jpg
341,341,chen-wen-hsi-chicken-7,1483,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-chicken-7.jpg,images/chen-wen-hsi-chicken-7.jpg
342,342,chen-wen-hsi-chicken-2,1242,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-chicken-2.jpg,images/chen-wen-hsi-chicken-2.jpg
343,343,chen-wen-hsi-chickens-11,1503,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-chickens-11.jpg,images/chen-wen-hsi-chickens-11.jpg
344,344,searching-for-food,1022,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/searching-for-food.jpg,images/searching-for-food.jpg
345,345,short-cut,666,Chinese Ink on Paper,Squirrel,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/short-cut.jpg,images/short-cut.jpg
346,346,show-of-musculinity,513,Chinese Ink on Paper,Chicken,"
A Dialogue With Tradition",https://chenwenhsi.com/wp-content/uploads/2017/08/show-of-musculinity.jpg,images/show-of-musculinity.jpg
347,347,shrimp-chenwenhsi,1042,Chinese Ink on Paper,Shrimp,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/shrimp-chenwenhsi.jpg,images/shrimp-chenwenhsi.jpg
348,348,chen-wen-hsi-shrimps-1,1389,Chinese Ink on Paper,Shrimp,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-shrimps-1.jpg,images/chen-wen-hsi-shrimps-1.jpg
349,349,chen-wen-hsi-shrimps-2,1433,Chinese Ink on Paper,Shrimp,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-shrimps-2.jpg,images/chen-wen-hsi-shrimps-2.jpg
350,350,chen-wen-hsi-shrimps,1219,Chinese Ink on Paper,Shrimp,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-shrimps.jpg,images/chen-wen-hsi-shrimps.jpg
351,351,singapore-river-chen-wen-hsi,1004,Mixed Media on Paper,Village / Kampong,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/singapore-river-chen-wen-hsi.jpg,images/singapore-river-chen-wen-hsi.jpg
352,352,chen-wen-hsi-singing-bird,1230,Chinese Ink on Paper,Humming Bird,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-singing-bird.jpg,images/chen-wen-hsi-singing-bird.jpg
353,353,singing-around,712,Chinese Ink on Paper,Bamboo,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/singing-around.jpg,images/singing-around.jpg
354,354,singing-stream-green-mountain,676,Chinese Ink on Paper,Landscape,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/singing-stream-green-mountain.jpg,images/singing-stream-green-mountain.jpg
355,355,snow-birds,714,Chinese Ink on Paper,Sparrow,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/snow-birds.jpg,images/snow-birds.jpg
356,356,sparrow-chen-wen-hsi,1659,Chinese Ink on Paper,Sparrow,Not in a publication,https://chenwenhsi.com/wp-content/uploads/2018/08/sparrow-chen-wen-hsi.jpg,images/sparrow-chen-wen-hsi.jpg
357,357,chen-wen-hsi-sparrow,1279,Chinese Ink on Paper,Sparrow,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-sparrow.jpg,images/chen-wen-hsi-sparrow.jpg
358,358,chen-wen-hsi-sparrows,1294,Chinese Ink on Paper,Sparrow,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-sparrows.jpg,images/chen-wen-hsi-sparrows.jpg
359,359,chen-wen-hsi-sparrows-1,1298,Chinese Ink on Paper,Sparrow,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-sparrows-1.jpg,images/chen-wen-hsi-sparrows-1.jpg
360,360,chen-wen-hsi-sparrows-2,1304,Chinese Ink on Paper,Sparrow,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-sparrows-2.jpg,images/chen-wen-hsi-sparrows-2.jpg
361,361,chen-wen-hsi-sparrow-1,1314,Chinese Ink on Paper,Sparrow,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-sparrow-1.jpg,images/chen-wen-hsi-sparrow-1.jpg
